ACDC 	ACDC 	ACDC 	g	x
Africano 	Africano 	Africano 	g	x
Afro-Cuban All Stars 	Afro-Cuban All Stars 	Afro-Cuban All Stars 	g	x
Airbourne 	Airbourne 	Airbourne 	g	x
Altanta Soul 	Altanta Soul 	Altanta Soul 	g	x
Ange 	Ange 	Ange 	g	x
Anstam 	Anstam 	Anstam 	g	x
Arctic Monkeys 	Arctic Monkeys 	Arctic Monkeys 	g	x
Asian Dub Foundation 	Asian Dub Foundation 	Asian Dub Foundation 	g	x
Assassin 	Assassin 	Assassin 	g	x
BB Brunes 	BB Brunes 	BB Brunes 	g	x
Beastie Boys 	Beastie Boys 	Beastie Boys 	g	x
Bee Gees 	Bee Gees 	Bee Gees 	g	x
Berrurier noir 	Berrurier noir 	Berrurier noir 	g	x
Bijou 	Bijou 	Bijou 	g	x
Black Eyed Peas 	Black Eyed Peas 	Black Eyed Peas 	g	x
Black Milk 	Black Milk 	Black Milk 	g	x
Black Sabbath 	Black Sabbath 	Black Sabbath 	g	x
Black Uhuru 	Black Uhuru 	Black Uhuru 	g	x
Blondie 	Blondie 	Blondie 	g	x
Blue Oyster Cult 	Blue Oyster Cult 	Blue Oyster Cult 	g	x
Brain Damage 	Brain Damage 	Brain Damage 	g	x
Breakbot 	Breakbot 	Breakbot 	g	x
Buena Vista Social Club 	Buena Vista Social Club 	Buena Vista Social Club 	g	x
Cabaret Voltaire 	Cabaret Voltaire 	Cabaret Voltaire 	g	x
Cactus 	Cactus 	Cactus 	g	x
Can 	Can 	Can 	g	x
Canned Heat 	Canned Heat 	Canned Heat 	g	x
Chemical Brothers 	Chemical Brothers 	Chemical Brothers 	g	x
Chic 	Chic 	Chic 	g	x
Chicago 	Chicago 	Chicago 	g	x
Clarika 	Clarika 	Clarika 	g	x
Cocteau Twins 	Cocteau Twins 	Cocteau Twins 	g	x
ColdPlay 	ColdPlay 	ColdPlay 	g	x
Creedence Clearwater Revival 	Creedence Clearwater Revival 	Creedence Clearwater Revival 	g	x
Daft Punk 	Daft Punk 	Daft Punk 	g	x
Death in Vegas 	Death in Vegas 	Death in Vegas 	g	x
Deep Purple 	Deep Purple 	Deep Purple 	g	x
Deftones 	Deftones 	Deftones 	g	x
Depeche Mode 	Depeche Mode 	Depeche Mode 	g	x
Devo 	Devo 	Devo 	g	x
Dimmu Borgir 	Dimmu Borgir 	Dimmu Borgir 	g	x
DJ-Kicks 	DJ-Kicks 	DJ-Kicks 	g	x
Dogs 	Dogs 	Dogs 	g	x
Doors 	Doors 	Doors 	g	x
Dr Feelgood 	Dr Feelgood 	Dr Feelgood 	g	x
Eagles 	Eagles 	Eagles 	g	x
Echo and The Bunnymen 	Echo and The Bunnymen 	Echo and The Bunnymen 	g	x
Eurythmics 	Eurythmics 	Eurythmics 	g	x
Evanescence 	Evanescence 	Evanescence 	g	x
Fatboy Slim 	Fatboy Slim 	Fatboy Slim 	g	x
FFF 	FFF 	FFF 	g	x
Fishbone 	Fishbone 	Fishbone 	g	x
Food's Gold 	Food's Gold 	Food's Gold 	g	x
Franz Ferdinand 	Franz Ferdinand 	Franz Ferdinand 	g	x
Funkadelic Brain 	Funkadelic Brain 	Funkadelic Brain 	g	x
Furtwängler 	Furtwängler 	Furtwängler 	g	x
Garbage 	Garbage 	Garbage 	g	x
Georgio 	Georgio 	Georgio 	g	x
Gladiators 	Gladiators 	Gladiators 	g	x
Godsmack 	Godsmack 	Godsmack 	g	x
GoGo Penguin 	GoGo Penguin 	GoGo Penguin 	g	x
Gong 	Gong 	Gong 	g	x
Gotan Project 	Gotan Project 	Gotan Project 	g	x
