Asimov Isaac 	Asimov 	Isaac 	e	x
Auster Paul 	Auster 	Paul 	e	x
Bank Russell 	Bank 	Russell 	e	x
De Luca Erri 	De 	Luca Erri 	e	x
Dick Philip K. 	Dick 	Philip K. 	e	x
Follett Ken 	Follett 	Ken 	e	x
Goodkind Terry 	Goodkind 	Terry 	e	x
Habe Hans 	Habe 	Hans 	e	x
Hemingway 	Hemingway 		e	x
Herbert Franck 	Herbert 	Franck 	e	x
Huxley Aldous 	Huxley 	Aldous 	e	x
Issac Walter 	Issac 	Walter 	e	x
Legay Piet 	Legay 	Piet 	e	x
London Jack 	London 	Jack 	e	x
Lovecraft Howard Philip 	Lovecraft 	Howard Philip 	e	x
Maynard Joyce 	Maynard 	Joyce 	e	x
Murakami Haruki 	Murakami 	Haruki 	e	x
RR Martin  Georges 	RR 	Martin  Georges 	e	x
Sepulveda Luis 	Sepulveda 	Luis 	e	x
Sijie Dai 	Sijie 	Dai 	e	x
Silverberg Robert 	Silverberg 	Robert 	e	x
Stevenson Robert 	Stevenson 	Robert 	e	x
Tramano Susanna 	Tramano 	Susanna 	e	x
Van Vogt A.E. 	Van 	Vogt A.E. 	e	x
Vance Jack 	Vance 	Jack 	e	x
Zweig Stephan 	Zweig 	Stephan 	e	x
Dicker Joel 	Dicker 	Joel 	e	x
Follett Ken 	Follett 	Ken 	e	x
Kagge Erling 	Kagge 	Erling 	e	x
Wohlleben Peter 	Wohlleben 	Peter 	e	x
Adam Olivier 	Adam 	Olivier 	e	x
Adler Laure 	Adler 	Laure 	e	x
Alferi Pierre 	Alferi 	Pierre 	e	x
Allende Isabell 	Allende 	Isabell 	e	x
Antoine 	Antoine 		e	x
Arditi Metin 	Arditi 	Metin 	e	x
Ariane Bois 	Ariane 	Bois 	e	x
Balzac Honoré De 	Balzac 	Honoré De 	e	x
Barbet Pierre 	Barbet 	Pierre 	e	x
Bardiaux Marcel 	Bardiaux 	Marcel 	e	x
Barjavel René 	Barjavel 	René 	e	x
Bataille Christophe 	Bataille 	Christophe 	e	x
Batho Delphine 	Batho 	Delphine 	e	x
Benacquista Tonio 	Benacquista 	Tonio 	e	x
Benson Stéphanie 	Benson 	Stéphanie 	e	x
Bosco Henri 	Bosco 	Henri 	e	x
Boscq Laurent 	Boscq 	Laurent 	e	x
Breton Guy 	Breton 	Guy 	e	x
Brown Dan 	Brown 	Dan 	e	x
Brussolo Serge 	Brussolo 	Serge 	e	x
Bussi Michel 	Bussi 	Michel 	e	x
Carmin Cléa 	Carmin 	Cléa 	e	x
Causse Manu 	Causse 	Manu 	e	x
Cavanna François 	Cavanna 	François 	e	x
Cayre Hannelore 	Cayre 	Hannelore 	e	x
Chabas Jean François 	Chabas 	Jean François 	e	x
Cognetti Paolo 	Cognetti 	Paolo 	e	x
Cohen Didier 	Cohen 	Didier 	e	x
Colette 	Colette 		e	x
Collectif Gallimard 	Collectif 	Gallimard 	e	x
Corti José 	Corti 	José 	e	x
d'Abonville Gérard 	d'Abonville 	Gérard 	e	x
Daeninckx Didier 	Daeninckx 	Didier 	e	x
Damasio Alain 	Damasio 	Alain 	e	x
Daudet Alphonse 	Daudet 	Alphonse 	e	x
De Chatelperron Corentin 	De 	Chatelperron Corentin 	e	x
De Kat Joan 	De 	Kat Joan 	e	x
Denis Christian 	Denis 	Christian 	e	x
Denuziere 	Denuziere 		e	x
Desnos Robert 	Desnos 	Robert 	e	x
Despentes Virginie 	Despentes 	Virginie 	e	x
Dessaint Pascal 	Dessaint 	Pascal 	e	x
Destanque Robert 	Destanque 	Robert 	e	x
Dieudonné Adeline 	Dieudonné 	Adeline 	e	x
Djian Philippe 	Djian 	Philippe 	e	x
dos Santos José Rodrigues 	dos 	Santos José Rodrigues 	e	x
Duras Marguerite 	Duras 	Marguerite 	e	x
Echenoz Jean 	Echenoz 	Jean 	e	x
Elsie 	Elsie 		e	x
Ernaux Annie 	Ernaux 	Annie 	e	x
Fermine Maxence 	Fermine 	Maxence 	e	x
Filippini Serge 	Filippini 	Serge 	e	x
Foenkinos David 	Foenkinos 	David 	e	x
Fontanel Sophie 	Fontanel 	Sophie 	e	x
Fottorino Eric 	Fottorino 	Eric 	e	x
Frébourg Olivier 	Frébourg 	Olivier 	e	x
Galien Alexandre 	Galien 	Alexandre 	e	x
Gamboa Santiago 	Gamboa 	Santiago 	e	x
Garcia Marques Gabriel 	Garcia 	Marques Gabriel 	e	x
Garcin Christian 	Garcin 	Christian 	e	x
Garde François 	Garde 	François 	e	x
Garnier Pascal 	Garnier 	Pascal 	e	x
Gaudé Laurent 	Gaudé 	Laurent 	e	x
Gautier Théophile 	Gautier 	Théophile 	e	x
Gavalda Anna 	Gavalda 	Anna 	e	x
Giono Jean 	Giono 	Jean 	e	x
Girard Eliane 	Girard 	Eliane 	e	x
Grangé Jean Christophe 	Grangé 	Jean Christophe 	e	x
Gregor Jean 	Gregor 	Jean 	e	x
Grimaud Hélène 	Grimaud 	Hélène 	e	x
Grimaud Jean 	Grimaud 	Jean 	e	x
Heurtier Annelise 	Heurtier 	Annelise 	e	x
Hollande François 	Hollande 	François 	e	x
Hooper Chloé 	Hooper 	Chloé 	e	x
Houellebecq Michel 	Houellebecq 	Michel 	e	x
Hugo Victor 	Hugo 	Victor 	e	x
Izzo Jean Claude 	Izzo 	Jean Claude 	e	x
Jardin Alexandre 	Jardin 	Alexandre 	e	x
Joly François 	Joly 	François 	e	x
Jonasson Jonas 	Jonasson 	Jonas 	e	x
Jonquet Thierry 	Jonquet 	Thierry 	e	x
Kaufmann Jean-Paul 	Kaufmann 	Jean-Paul 	e	x
