Groupe	ID	Nom	Genre	Pays	Domaine	CreatTS	ModifTS	Info	
Groupe	3	The Clash				2024-11-30T09:10:44		
Groupe	2	Rolling Stones	Rock	Angl	MUS	2024-11-30T09:10:44		
Groupe	4	I Three	Reggae		MUS	2024-11-30T09:10:44		
Groupe	5	ACDC				2024-11-30T09:10:44	20/08/2023 23:44:09	
Groupe	6	Beatles			MUS	2024-11-30T09:10:44		
Groupe	7	Big Soul			MUS	2024-11-30T09:10:44		
Groupe	15	Archive			MUS	2024-11-30T09:10:44		
Groupe	9	Bonobo			MUS	2024-11-30T09:10:44		
Groupe	10	Darkside			MUS	2024-11-30T09:10:44		
Groupe	11	De La Soul			MUS	2024-11-30T09:10:44		
Groupe	12	Fanga			MUS	2024-11-30T09:10:44		
Groupe	13	Faultline			MUS	2024-11-30T09:10:44		
Groupe	14	La Rumeur			MUS	2024-11-30T09:10:44		
Groupe	16	Buffalo Springfield			MUS	2024-11-30T09:10:44		
Groupe	17	Culture			MUS	2024-11-30T09:10:44		
Groupe	18	Dexys Midnight Runners			MUS	2024-11-30T09:10:44		
Groupe	19	Earth, Wind & Fire			MUS	2024-11-30T09:10:44		
Groupe	20	Flamin' Groovies			MUS	2024-11-30T09:10:44		
Groupe	21	Freerange Records Colour Series			MUS	2024-11-30T09:10:44		
Groupe	22	Fugazi			MUS	2024-11-30T09:10:44		
Groupe	23	Genesis			MUS	2024-11-30T09:10:44		
Groupe	24	Iron Butterfly			MUS	2024-11-30T09:10:44		
Groupe	25	Iron Maiden			MUS	2024-11-30T09:10:44		
Groupe	26	Jethro Tull			MUS	2024-11-30T09:10:44		
Groupe	27	Ministère A.M.E.R			MUS	2024-11-30T09:10:44		
Groupe	28	Moussu T			MUS	2024-11-30T09:10:44		
Groupe	29	New York Dolls			MUS	2024-11-30T09:10:44		
Groupe	30	Orange Blossom			MUS	2024-11-30T09:10:44		
Groupe	31	Rage Against the Machine			MUS	2024-11-30T09:10:44		
Groupe	32	Savages			MUS	2024-11-30T09:10:44		
Groupe	33	Sister Sledge			MUS	2024-11-30T09:10:44		
Groupe	34	Sonic Youth			MUS	2024-11-30T09:10:44		
Groupe	35	The Abyssinians			MUS	2024-11-30T09:10:44		
Groupe	36	The Last Skeptik			MUS	2024-11-30T09:10:44		
Groupe	37	The New Mastersounds			MUS	2024-11-30T09:10:44		
Groupe	38	The Robert Cray Band			MUS	2024-11-30T09:10:44		
Groupe	39	The Spencer Davis Group			MUS	2024-11-30T09:10:44		
Groupe	40	The Stranglers			MUS	2024-11-30T09:10:44		
Groupe	41	Africano			MUS	2024-11-30T09:10:44		
Groupe	42	Afro-Cuban All Stars			MUS	2024-11-30T09:10:44		
