Parametre	ID	Nom	Niv1	Niv2	
Parametre	4	stockQuoi	CINE	;dvd;disk-dvd;à louer;bib;bibMal;ciné;disk;Disk (nonZip);dvd (disk vost);dvd(fin ko);NetFlix;yout;FranceTV
Parametre	2	domaineQuoi	;CINE;BD;INFO;LIVR;MUS;PERSO;VISU	
Parametre	3	domaineQui	;CINE;ECR;FAM;MUS;VISU;BUZ	
Parametre	5	stockQuoi	BD	;Malr;x; 
Parametre	6	stockQuoi	INFO	;w;
Parametre	7	stockQuoi	LIVR	;b;Guig;n;ntz;pdf;pom;w;x
Parametre	8	stockQuoi	MUS	;disk;Ytb
Parametre	9	stockQuoi	PERSO	;
Parametre	10	stockQuoi	VISU	;Caravalet;expo;MAMCS
Parametre	11	genreQuoiCINE		Action;Co_Dr;Musique;Reportage
Parametre	12	genreQuoiCINE	Action	Anglais;Français;Western;SF
Parametre	13	genreQuoiCINE	Co_Dr	Anglais;Français;Autres;Jeunes
Parametre	14	genreQuoiCINE	Musique	Concert;Film musical; Reportage musical;Enregistrement
Parametre	15	genreQuoiCINE	Reportage	News;Sport;Bateau;Arts;Jeunes;Autres
Parametre	17	genreQuoiLIVR		Ess;Jeu;Pol;Rec;Rom;SF 
Parametre	18	genreQuoiLIVR	Ess	Econom;Ecolog;Hist;Socio;Sport
Parametre	19	genreQuoiLIVR	Jeu	Fra
Parametre	20	genreQuoiLIVR	Pol	Fra
Parametre	21	genreQuoiLIVR	Rec	Fra
Parametre	22	genreQuoiLIVR	Rom	Fra
Parametre	23	genreQuoiLIVR	SF	Fra
Parametre	24	genreQuoiINFO		Action;Econom;Even;Politik
Parametre	25	genreQuoiINFO	Action	
Parametre	26	genreQuoiINFO	Econom	
Parametre	27	genreQuoiINFO	Politik	
