Poste	ID	ID_Qui	ID_Groupe	Descr	CreatTS	ModifTS	ID_QuiGroupe	
Poste	1	2269	2		2024-11-30T09:10:44	2024-12-01T18:51:43	2902
Poste	2	2014	2		2024-11-30T09:10:44	2024-12-01T18:52:17	2902
Poste	3	2272	2		2024-11-30T09:10:44	2024-12-01T18:52:17	2902
Poste	4	2273	2		2024-11-30T09:10:44	2024-12-01T18:52:17	2902
Poste	5	2274	2		2024-11-30T09:10:44	2024-12-01T18:52:17	2902
Poste	7	2267	4		2024-11-30T09:10:44	2024-12-01T18:52:22	2903
Poste	8	1991	4		2024-11-30T09:10:44	2024-12-01T18:52:22	2903
Poste	9	2074	6		2024-11-30T09:10:44	2024-12-01T18:52:22	2905
Poste	12	2396	6		2024-11-30T09:10:44	2024-12-01T18:52:22	2905
Poste	11	2262	6		2024-11-30T09:10:44	2024-12-01T18:52:22	2905
Poste	13	2614	6		2024-11-30T09:10:44	2024-12-01T18:52:22	2905
Poste	14	2269	0		2024-12-11T10:47:46		3170
