Qui	ID	FullName	Genre	Pays	Domaine	Style	Info	CreatTS	ModifTS	Nom	Prenom	DateNaiss	DateDeces	
Qui	2268	Rita Warley	F	Jamaica	MUS	Reggae		2024-11-30T09:10:39	41397000	Warley	Rita		
Qui	1	Abigail Breslin	F	US	CINE		Le gout de la vie	2024-11-30T09:10:39	2023-12-09T17:34:33	Breslin	Abigail	1996	
Qui	355	Adam Sandler	M	US	CINE		Amour et Amnésie	2024-11-30T09:10:39	2023-11-25T11:01:36	Sandler	Adam	1966	
Qui	2	Adèle Exarchopoulos	F	Fra	CINE		La Vie d'	2024-11-30T09:10:39	2024-07-09T22:02:49	Exarchopoulos	Adèle	1993	
Qui	3	Adèle Haenel	F	Fra	CINE		Suzanne	2024-11-30T09:10:39	2024-05-23T20:08:26	Haenel	Adèle	1989	
Qui	356	Adolfo Celi	M		CINE		Libera, amore mio!	2024-11-30T09:10:39	2023-11-25T11:01:36	Celi	Adolfo	0	
Qui	357	Adrian Brody	M	US	CINE		Cadillac Records	2024-11-30T09:10:39	2023-11-25T11:01:36	Brody	Adrian	1973	
Qui	4	Agate Bonitzer	F	Fra	CINE		la belle et la belle	2024-11-30T09:10:39	2023-11-25T11:01:36	Bonitzer	Agate	1989	
Qui	5	Agnès Soral	F	Fra	CINE		Tchao pantin	2024-11-30T09:10:39	2024-05-23T17:39:28	Soral	Agnès	1960	
Qui	358	Ahmed Sylla	M	Fra	CINE		L'ascension	2024-11-30T09:10:39	2023-11-25T11:01:36	Sylla	Ahmed	1990	
Qui	359	Aidan Quinn	M		CINE		Recherche Susan Desesp	2024-11-30T09:10:39	2023-11-25T11:01:36	Quinn	Aidan	0	
Qui	343	Aïssa Maïga	F	Fra	CINE		L'un Reste, l'autre Part	2024-11-30T09:10:39	2024-05-26T21:03:41	Maïga	Aïssa	1975	
Qui	572	Alain Baschung	M	Fra	MUS	Rock	La Confusion des Genres	2024-11-30T09:10:39	2023-11-25T11:01:36	Baschung	Alain	1947	2009
Qui	360	Alain Chabat	M	Fra	CINE		Mission Cléopatre	2024-11-30T09:10:39	2023-11-26T22:02:56	Chabat	Alain	1958	
Qui	6	Alba Gaïa Bellugi	F		CINE		Intouchables	2024-11-30T09:10:39	2024-05-07T19:59:45	Gaïa Bellugi	Alba	1995	
Qui	7	Albane Duterc	F	Fra	CINE		Toute la beauté du monde	2024-11-30T09:10:39	2023-11-25T11:01:36	Duterc	Albane	1970	
Qui	361	Alex Sharp II	M		CINE		How To Take Girls At Parties (vo)	2024-11-30T09:10:39	2023-11-25T11:01:36	Sharp II	Alex	0	
Qui	362	Alexandra Borbély	M		CINE		Corps et Ame	2024-11-30T09:10:39	2023-11-25T11:01:36	Borbély	Alexandra	0	
Qui	363	Alexeï Gouskov	M		CINE		Le Concert	2024-11-30T09:10:39	2023-11-25T11:01:36	Gouskov	Alexeï	0	
Qui	8	Alice BelAidi	F	Fra	CINE		L'ascension	2024-11-30T09:10:39	2024-07-09T21:27:16	BelAidi	Alice	1987	
Qui	9	Alice Braga	F		CINE	sauvage	amerique sud	2024-11-30T09:10:39	2024-06-01T21:19:03	Braga	Alice	1983	
Qui	10	Alice David	F	Fra	CINE		Les Francis	2024-11-30T09:10:39	2024-05-24T08:58:39	David	Alice	1987	
Qui	11	Alice Isaaz	F	Fra	CINE		Les Yeux Jaunes des Crocodiles	2024-11-30T09:10:39	2024-06-01T22:03:42	Isaaz	Alice	1991	
Qui	12	Alice Taglioni	F	Fra	CINE		La bande du Drugstore	2024-11-30T09:10:39	2024-05-25T21:21:56	Taglioni	Alice	1976	
Qui	13	Alicia Vikander	F	Suede	CINE		Tombe Raider	2024-11-30T09:10:39	2024-03-28T21:29:03	Vikander	Alicia	1988	
Qui	14	Amanda Peet	F	US	CINE		Mon voisin le tueur	2024-11-30T09:10:39	2024-05-26T21:10:40	Peet	Amanda	1972	
Qui	15	Amanda Seyfried	F	US	CINE		Time Out	2024-11-30T09:10:39	2024-04-28T07:56:32	Seyfried	Amanda	1980	
Qui	16	Amber Valletta	F	US	CINE		Hitch	2024-11-30T09:10:39	2023-11-25T11:01:36	Valletta	Amber	1974	
Qui	2808	Yohana Cobo	F	Esp	CINE		volver	2024-11-30T09:10:39	2024-05-25T21:00:36	Cobo	Yohana	1985	
Qui	17	Ana Girardot	F	Fra	CINE		Amitiés sincères	2024-11-30T09:10:39	2024-05-23T19:54:36	Girardot	Ana	1988-08-01	
Qui	18	Anaïs Demoustier	F	Fra	CINE		Elles	2024-11-30T09:10:39	2024-05-23T20:04:14	Demoustier	Anaïs	1987	
Qui	574	André Dussollier	M	Fra	CINE		Ne le dis à personne	2024-11-30T09:10:39	2023-11-25T11:01:36	Dussollier	André	0	
Qui	2782	Tony Williams	M	US	MUS	Jazz	Batteur de Miles Davis	2024-11-30T09:10:39	2023-11-25T11:01:39	Williams	Tony	1945	1997
Qui	20	Andrea Riseborough	F	Ang	CINE		Oblivion	2024-11-30T09:10:39	2024-06-09T14:01:49	Riseborough	Andrea	1981-11-20	
Qui	575	Angela Finocchiaro	M		CINE		Non ti muovere	2024-11-30T09:10:39	2023-11-25T11:01:36	Finocchiaro	Angela	0	
Qui	21	Angelina Jolie	F	US	CINE		The Tourist	2024-11-30T09:10:39	2024-03-15T13:39:28	Jolie	Angelina	1975-06-04	
Qui	22	Angeline Ball	F	Angl	CINE		The Commitments	2024-11-30T09:10:39	2024-05-23T17:40:36	Ball	Angeline	1969	
Qui	662	Angus T. Jones	M		CINE			2024-11-30T09:10:39	2023-11-25T11:01:37	T. Jones	Angus	0	
Qui	23	Anita Caprioli	F	Ita	CINE		Ciao Stefano	2024-11-30T09:10:39	2023-11-25T11:01:36	Caprioli	Anita	1973-12-11	
Qui	24	Anna Faris	F		CINE		My Super Ex-Girlfriend (vo)	2024-11-30T09:10:39	2023-11-25T11:01:36	Faris	Anna	1976-11-29	
Qui	25	Anna Galiena	F	Ita	CINE		Avis de Mistral	2024-11-30T09:10:39	2023-11-25T11:01:36	Galiena	Anna	1954	
Qui	26	Anna Kendrick	F	US	CINE		Mr Wolff	2024-11-30T09:10:39	2024-06-01T22:07:17	Kendrick	Anna	1985	
Qui	27	Anne Consigny	F	Fra	CINE		La Première étoile	2024-11-30T09:10:39	2023-11-25T11:01:36	Consigny	Anne	1963-05-26	
Qui	28	Anne Hathaway	F	US	CINE		Interstellar	2024-11-30T09:10:39	2023-11-25T11:01:36	Hathaway	Anne	1982	
Qui	29	Anne Marivin	F	Fra	CINE		Ah! si j'étais riche	2024-11-30T09:10:39	2023-11-25T11:01:36	Marivin	Anne	1974	
Qui	344	Anne Parillaud	F	Fra	CINE		Tout Pour Plaire	2024-11-30T09:10:39	2023-11-25T11:01:36	Parillaud	Anne	1960-05-06	
Qui	30	Anouk Aimée	F	Fra	CINE		Un Homme et Une Femme	2024-11-30T09:10:39	2023-11-25T11:01:36	Aimée	Anouk	1932	
Qui	31	Anouk Grinberg	F	Bel	CINE		Un, deux, trois, soleil	2024-11-30T09:10:39	2023-11-25T11:01:36	Grinberg	Anouk	1963-03-20	
Qui	576	Antoine Bertrand	M		CINE		Demain Tout Commence	2024-11-30T09:10:39	2023-11-25T11:01:36	Bertrand	Antoine	0	
Qui	364	Antonio Banderas	M		CINE		Les amants passagers	2024-11-30T09:10:39	2023-11-25T11:20:35	Banderas	Antonio	1960-08	
Qui	365	Antonythasan Jesuthasan	M		CINE		Dheepan	2024-11-30T09:10:39	2023-11-25T11:01:36	Jesuthasan	Antonythasan	0	
Qui	32	Ariane Ascarie	F	Fra	CINE		Voyage en Arménie	2024-11-30T09:10:39	2023-11-25T11:01:36	Ascarie	Ariane	1954-10-10	
Qui	366	Arnaud Ducret	M	Fra	CINE		Les dents pipi et au lit	2024-11-30T09:10:39	2023-11-25T11:01:36	Ducret	Arnaud	0	
Qui	33	Arta Dobroshi	F	Yougo	CINE		Le Silence de Lorna	2024-11-30T09:10:39	2024-05-25T20:21:53	Dobroshi	Arta	1980-10-02	
Qui	577	Arthur Dupont	M		CINE		Mauvaise Fille	2024-11-30T09:10:39	2023-11-25T11:01:36	Dupont	Arthur	0	
Qui	367	Ashton Kutcher	M		CINE		Jobs	2024-11-30T09:10:39	2023-11-25T11:01:36	Kutcher	Ashton	0	
Qui	34	Astrid Bergès Frisbey	F	Fra	CINE		La Fille du Puisatier	2024-11-30T09:10:39	2024-05-23T19:56:01	Bergès Frisbey	Astrid	1986-05-26	
Qui	35	Audrey Fleurot	F	Fra	CINE		Les Reines du Ring	2024-11-30T09:10:39	2023-11-25T11:01:36	Fleurot	Audrey	1977-07-06	
Qui	36	Audrey Tautou	F	Fra	CINE		Coco avant Chanel	2024-11-30T09:10:39	2024-05-26T21:11:22	Tautou	Audrey	1976	
Qui	37	Aunjanue Ellis	F	US	CINE		Opération Funky	2024-11-30T09:10:39	2023-11-25T11:01:36	Ellis	Aunjanue	1969-02-21	
Qui	38	Aure Atika	F	Fra	CINE		Comme t y es Belle	2024-11-30T09:10:39	2024-03-28T21:58:23	Atika	Aure	1970-07-12	
Qui	39	Barbara Cabrita	F	Fra	CINE		La Cage Dorée	2024-11-30T09:10:39	2023-11-25T11:01:36	Cabrita	Barbara	1982-05-09	
Qui	40	Beatrice Dalle	F	Fra	CINE		37,2 le matin|brest	2024-11-30T09:10:39	2024-05-24T08:49:46	Dalle	Beatrice	1964	
Qui	345	Bella Heathcote	F	Aus	CINE		Les mots pour lui dire	2024-11-30T09:10:39	2024-01-06T09:27:59	Heathcote	Bella	1987-05-27	
Qui	578	Ben Affleck	M	US	CINE		Armageddon	2024-11-30T09:10:39	2024-04-28T07:22:25	Affleck	Ben	1972	
Qui	2272	Charlie Watts	M	Angl	MUS	Rock	Rolling Stones Juin Hippodrome Auteuil J. Geils Band	2024-11-30T09:10:39	2023-11-25T11:01:38	Watts	Charlie	1941-06-02	2021-08-24
Qui	369	Ben Stiller	M		CINE		Polly et moi (vost)	2024-11-30T09:10:39	2023-11-25T11:01:36	Stiller	Ben	0	
Qui	370	Benicio del Toro	M		CINE		Sicario	2024-11-30T09:10:39	2023-11-25T11:01:36	del Toro	Benicio	0	
Qui	371	Benjamin Lavernhe	M		CINE		Le Gout Des Merveilles	2024-11-30T09:10:39	2023-11-25T11:01:36	Lavernhe	Benjamin	0	
Qui	372	Benjamin Siksou	M		CINE		Toi, Moi, les autres	2024-11-30T09:10:39	2023-11-25T11:01:36	Siksou	Benjamin	0	
Qui	373	Benoît Poelvoorde	M	Bel	CINE		C'est arrivé près de chez vous	2024-11-30T09:10:39	2023-11-25T11:01:36	Poelvoorde	Benoît	0	
Qui	374	Benoît Régent	M		CINE		Trois couleurs : Bleu	2024-11-30T09:10:39	2023-11-25T11:01:36	Régent	Benoît	0	
Qui	41	Bérénice Bejo	F	Fra	CINE		The Artist, femme de  Michel Hazanavicius	2024-11-30T09:10:39	2024-03-25T20:47:36	Bejo	Bérénice	1976	
Qui	42	Bernadette Lafont	F	Fra	CINE		Prete moi ta main	2024-11-30T09:10:39	2023-11-25T11:01:36	Lafont	Bernadette	1938-10-23	2013-07-25
Qui	663	Bernard Campan	M	Fra	CINE			2024-11-30T09:10:39	2023-11-25T11:01:37	Campan	Bernard	0	
Qui	43	Bertille Chabert	F	Fra	CINE		Une Semaine sur Deux	2024-11-30T09:10:39	2024-05-24T12:57:51	Chabert	Bertille	1995-04-23	
Qui	44	Betty White	F	US	CINE		Brining down the house	2024-11-30T09:10:39	2024-05-25T21:15:59	White	Betty	1922	2021
Qui	45	Beyoncé	F	US	CINE		Cadillac Records	2024-11-30T09:10:39	2024-05-24T08:50:04	Beyoncé		1981	
Qui	375	Bill Nighy	M		CINE		Petits Meurtres à l'Anglaise	2024-11-30T09:10:39	2023-11-25T11:01:36	Nighy	Bill	0	
Qui	46	Blanca Suárez	F	Esp	CINE		Les amants passagers	2024-11-30T09:10:39	2024-05-23T20:05:34	Suárez	Blanca	1988-10-21	
Qui	376	Bob Geldof	M	US	CINE		Mauvaise Fille	2024-11-30T09:10:39	2023-11-25T11:01:36	Geldof	Bob	0	
Qui	377	Bourvil	M	Fra	CINE		La Grande Vadrouille	2024-11-30T09:10:39	2023-11-25T11:01:36	Bourvil		0	
Qui	378	Brad Pitt	M	US	CINE		L'armée des 12 singes	2024-11-30T09:10:39	2023-11-25T11:01:36	Pitt	Brad	0	
Qui	379	Bradley Cooper	M	US	CINE		Happyness Therapy	2024-11-30T09:10:39	2024-03-28T21:20:41	Cooper	Bradley	1975	
Qui	47	Brigitte Bardot	F	Fra	CINE		Et Dieu créa la femme (1956-22 ans)	2024-11-30T09:10:39	2024-03-25T19:31:36	Bardot	Brigitte	1934	
Qui	380	Bruce Willis	M	US	CINE		Mon voisin le tueur	2024-11-30T09:10:39	2023-11-25T11:01:36	Willis	Bruce	1955	
Qui	381	Bruno Cremer	M	Fra	CINE		Noce Blanche	2024-11-30T09:10:39	2023-11-25T11:01:36	Cremer	Bruno	0	
Qui	382	Bruno Ganz	M		CINE		Les Ailes du désir	2024-11-30T09:10:39	2023-11-25T11:01:36	Ganz	Bruno	0	
Qui	48	Bryce Dallas Howard	F	US	CINE		Terminator Renaissance	2024-11-30T09:10:39	2024-04-28T08:10:06	Dallas Howard	Bryce	1981-03-02	
Qui	49	Cameron Diaz	F	US	CINE		Night and Day	2024-11-30T09:10:39	2024-05-24T20:56:14	Diaz	Cameron	1972	
Qui	50	Camila Márdila	F	Bra	CINE		Une Seconde Mère	2024-11-30T09:10:39	2024-05-24T08:48:26	Márdila	Camila	1988	
Qui	51	Camille Chamoux	F	Fra	CINE		Les Gazelles	2024-11-30T09:10:39	2024-05-25T21:21:09	Chamoux	Camille	1977	
Qui	52	Cara Delevingne	F	Ang	CINE		Valerian	2024-11-30T09:10:39	2023-11-26T19:32:43	Delevingne	Cara	1992-08-12	
Qui	53	Carmen Ejogo	F	Ang	CINE		Born to be blue	2024-11-30T09:10:39	2023-11-25T11:01:36	Ejogo	Carmen	1973-11-22	
Qui	54	Carmen Maura	F	Fra	CINE		Le bonheur est dans le près	2024-11-30T09:10:39	2023-11-25T11:01:36	Maura	Carmen	1945-09-15	
Qui	55	Carole Bouquet	F	Fra	CINE		Mauvaise Fille	2024-11-30T09:10:39	2023-11-25T11:01:36	Bouquet	Carole	1957	
Qui	56	Carole Franck	F	Fra	CINE		Le Nom des Gens	2024-11-30T09:10:39	2023-11-25T11:01:36	Franck	Carole	1970	
Qui	57	Carrie-Anne Moss	F	Can	CINE		Matrix	2024-11-30T09:10:39	2024-05-26T21:09:41	Moss	Carrie-Anne	1967-08-21	
