RelTheme	ID	ID_Theme	ID_Qui	ID_Quoi	
RelTheme	2	2	2	0
RelTheme	13	2	63	0
RelTheme	15	2	102	0
RelTheme	14	2	9	0
RelTheme	11	1	2063	0
RelTheme	12	2	2063	0
RelTheme	16	2	1721	0
RelTheme	17	2	1737	0
RelTheme	18	2	259	0
RelTheme	19	2	309	0
RelTheme	20	2	26	0
RelTheme	21	2	192	0
RelTheme	22	2	1703	0
RelTheme	23	2	2844	0
RelTheme	24	2	2815	0
RelTheme	25	2	2816	0
RelTheme	26	2	92	0
RelTheme	27	2	107	0
RelTheme	28	2	275	0
RelTheme	29	2	8	0
RelTheme	30	2	2194	0
RelTheme	31	2	182	0
RelTheme	32	2	13	0
RelTheme	33	2	50	0
RelTheme	34	2	185	0
RelTheme	35	2	1724	0
RelTheme	36	2	280	0
RelTheme	37	2	1725	0
RelTheme	38	2	2817	0
RelTheme	39	2	160	0
RelTheme	40	2	212	0
RelTheme	41	2	271	0
RelTheme	42	2	11	0
RelTheme	43	2	72	0
RelTheme	44	2	156	0
RelTheme	45	2	278	0
RelTheme	46	2	133	0
RelTheme	50	1	160	0
RelTheme	51	1	2844	0
RelTheme	52	1	1737	0
RelTheme	53	1	2194	0
RelTheme	54	1	259	0
RelTheme	55	1	280	0
RelTheme	56	1	309	0
RelTheme	57	1	8	0
RelTheme	58	1	9	0
RelTheme	59	1	13	0
RelTheme	60	1	1703	0
RelTheme	61	1	102	0
RelTheme	62	5	342	0
RelTheme	63	5	2852	0
RelTheme	64	2	342	0
RelTheme	65	1	342	0
RelTheme	66	2	2854	0
RelTheme	67	2	2855	0
RelTheme	68	5	161	0
RelTheme	69	5	134	0
RelTheme	70	5	45	0
RelTheme	71	5	1744	0
RelTheme	999999	6	0	764
