Role	ID	ID_Qui	ID_Quoi	Descr	Info	CreatTS	ModifTS	ID_Groupe	
Role	80	214	539	F1		2024-11-30T09:10:41		0
Role	42	400	519	M1		2024-11-30T09:10:41		0
Role	1110	409	608	M2-prof musique		2024-11-30T09:10:42		0
Role	807	428	844	M1		2024-11-30T09:10:42		0
Role	757	399	825	F1		2024-11-30T09:10:41	2023-12-03T21:31:46	0
Role	715	102	810	F1		2024-11-30T09:10:41		0
Role	250	452	615	M1-Cloclo		2024-11-30T09:10:41		0
Role	4050	2584	2169	Musicien		2024-11-30T09:10:42		0
Role	12	423	504	M1		2024-11-30T09:10:42		0
Role	13	465	504	M2		2024-11-30T09:10:42		0
Role	268	94	625	F1		2024-11-30T09:10:41		0
Role	536	448	735	M2		2024-11-30T09:10:41		0
Role	415	514	683	M1		2024-11-30T09:10:41		0
Role	428	450	690	M1		2024-11-30T09:10:42		0
Role	3453	2173	3089	Musicien		2024-11-30T09:10:42		0
Role	424	351	687	F2-indépendante Wrk		2024-11-30T09:10:42		0
Role	555	290	745	F1		2024-11-30T09:10:42		0
Role	1	118	501	F1		2024-11-30T09:10:41	2024-05-23T17:31:27	0
Role	4666	2627	3842	Artiste		2024-11-30T09:10:42		0
Role	521	358	730	M1		2024-11-30T09:10:42		0
Role	734	597	817	M2		2024-11-30T09:10:42	2024-03-08T18:30:11	0
Role	735	291	818	F1		2024-11-30T09:10:42	2024-05-23T20:06:48	0
Role	5254	2014	2266			2024-11-30T09:10:43		0
Role	3985	1862	2888	Musicien		2024-11-30T09:10:42		0
Role	818	465	849	M2		2024-11-30T09:10:42		0
Role	3974	1902	3398	Musicien		2024-11-30T09:10:42		0
Role	3134	2305	3272	Musicien		2024-11-30T09:10:42		0
Role	3096	2290	2051	Musicien		2024-11-30T09:10:42		0
Role	3095	2290	2003	Musicien		2024-11-30T09:10:42		0
Role	53	372	522	M1		2024-11-30T09:10:41		0
Role	340	350	650	F1-Maman		2024-11-30T09:10:41	2023-08-24T21:57:43	0
Role	341	328	651	F1		2024-11-30T09:10:41		0
Role	5274	2272	3253			2024-11-30T09:10:43		0
Role	431	361	691	M1		2024-11-30T09:10:41		0
Role	895	412	887	M1-Père Patron		2024-11-30T09:10:42		0
Role	300	223	636	F2		2024-11-30T09:10:41		0
Role	301	377	636	M1		2024-11-30T09:10:41		0
Role	475	122	711	F2		2024-11-30T09:10:41		0
